iter	Passed	Remaining
0	30	30166
1	58	29188
2	84	28000
3	109	27345
4	136	27105
5	163	27033
6	190	27030
7	216	26894
8	244	26905
9	274	27212
10	303	27261
11	330	27212
12	356	27072
13	382	26935
14	408	26808
15	433	26676
16	459	26584
17	484	26444
18	511	26394
19	538	26377
20	565	26377
21	594	26411
22	619	26331
23	646	26297
24	672	26235
25	698	26157
26	723	26086
27	755	26238
28	785	26286
29	816	26411
30	844	26399
31	871	26351
32	898	26318
33	930	26443
34	959	26453
35	985	26396
36	1014	26404
37	1041	26361
38	1072	26435
39	1099	26380
40	1125	26324
41	1151	26274
42	1177	26213
43	1205	26197
44	1231	26128
45	1257	26076
46	1284	26046
47	1311	26019
48	1337	25966
49	1363	25909
50	1393	25924
51	1435	26163
52	1464	26160
53	1490	26107
54	1516	26052
55	1543	26014
56	1568	25949
57	1594	25895
58	1619	25833
59	1648	25829
60	1678	25836
61	1706	25814
62	1738	25850
63	1763	25793
64	1790	25750
65	1819	25747
66	1848	25736
67	1876	25717
68	1902	25668
69	1929	25631
70	1955	25586
71	1981	25535
72	2007	25489
73	2033	25451
74	2058	25392
75	2086	25365
76	2112	25320
77	2138	25278
78	2164	25237
79	2192	25218
80	2222	25212
81	2254	25243
82	2290	25302
83	2319	25291
84	2346	25260
85	2380	25300
86	2406	25252
87	2432	25212
88	2460	25180
89	2488	25161
90	2514	25112
91	2539	25066
92	2565	25021
93	2606	25119
94	2633	25085
95	2658	25038
96	2688	25029
97	2719	25028
98	2747	25000
99	2774	24972
100	2801	24938
101	2872	25286
102	2904	25296
103	2931	25252
104	2956	25199
105	2982	25153
106	3008	25110
107	3035	25067
108	3060	25020
109	3086	24975
110	3113	24936
111	3139	24891
112	3164	24840
113	3191	24802
114	3220	24781
115	3245	24735
116	3271	24689
117	3298	24653
118	3324	24610
119	3351	24580
120	3382	24570
121	3410	24542
122	3438	24519
123	3464	24477
124	3492	24449
125	3523	24438
126	3553	24427
127	3580	24393
128	3606	24351
129	3632	24310
130	3658	24270
131	3685	24237
132	3712	24201
133	3737	24155
134	3767	24139
135	3793	24100
136	3820	24067
137	3850	24048
138	3875	24008
139	3909	24017
140	3936	23983
141	3964	23953
142	3991	23918
143	4020	23900
144	4050	23884
145	4089	23917
146	4116	23885
147	4141	23843
148	4166	23799
149	4191	23752
150	4217	23711
151	4247	23696
152	4277	23677
153	4302	23637
154	4331	23612
155	4357	23574
156	4384	23540
157	4411	23508
158	4439	23483
159	4464	23438
160	4489	23397
161	4516	23364
162	4542	23325
163	4567	23283
164	4596	23261
165	4621	23220
166	4646	23178
167	4673	23142
168	4699	23106
169	4724	23067
170	4752	23038
171	4777	22999
172	4803	22960
173	4828	22923
174	4856	22894
175	4882	22860
176	4910	22830
177	4939	22811
178	4969	22792
179	4996	22759
180	5024	22735
181	5055	22721
182	5084	22701
183	5110	22663
184	5136	22626
185	5162	22591
186	5188	22557
187	5214	22524
188	5240	22487
189	5266	22452
190	5293	22423
191	5319	22387
192	5344	22348
193	5370	22311
194	5399	22291
195	5430	22275
196	5456	22240
197	5482	22205
198	5509	22176
199	5536	22145
200	5562	22111
201	5590	22084
202	5615	22046
203	5644	22025
204	5672	21997
205	5701	21976
206	5728	21946
207	5754	21911
208	5781	21879
209	5810	21858
210	5836	21825
211	5862	21790
212	5888	21756
213	5914	21722
214	5940	21688
215	5965	21652
216	5991	21618
217	6017	21584
218	6043	21551
219	6069	21519
220	6095	21484
221	6122	21454
222	6148	21422
223	6174	21390
224	6200	21356
225	6226	21322
226	6251	21288
227	6277	21255
228	6303	21222
229	6329	21188
230	6354	21154
231	6380	21122
232	6408	21095
233	6434	21061
234	6460	21029
235	6485	20994
236	6511	20963
237	6537	20931
238	6567	20911
239	6596	20888
240	6621	20854
241	6651	20833
242	6678	20806
243	6705	20775
